日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018/4/16,'000012,南 玻Ａ,7.26,7.37,7.22,7.37,7.38,-0.12,-1.626,0.5571,8409796,61242289.42,18034911191,10960179175
2018/4/13,'000012,南 玻Ａ,7.38,7.44,7.34,7.38,7.39,-0.01,-0.1353,0.3595,5427248,40102428.82,18333008897,11141339161
2018/4/12,'000012,南 玻Ａ,7.39,7.49,7.39,7.49,7.48,-0.09,-1.2032,0.4239,6399476,47647750.6,18357850372,11156435827
2018/4/11,'000012,南 玻Ａ,7.48,7.49,7.42,7.45,7.44,0.04,0.5376,0.5549,8377250,62443627.32,18581423652,11292305816
2018/4/10,'000012,南 玻Ａ,7.44,7.44,7.35,7.4,7.39,0.05,0.6766,0.4307,6502816,48084778.33,18482057750,11231919154
2018/4/9,'000012,南 玻Ａ,7.39,7.5,7.31,7.5,7.51,-0.12,-1.5979,0.6831,10312282,76082607.36,18357850372,11156435827
2018/4/4,'000012,南 玻Ａ,7.51,7.71,7.4,7.4,7.39,0.12,1.6238,0.7879,11894767,90165132.1,18655948078,11337595813
2018/4/3,'000012,南 玻Ａ,7.39,7.46,7.35,7.44,7.55,-0.16,-2.1192,0.5655,8537436,63162088.44,18357850372,11156435827
2018/4/2,'000012,南 玻Ａ,7.55,7.64,7.52,7.54,7.53,0.02,0.2656,0.5835,8809238,66731602.94,18755313980,11397982475
2018/3/30,'000012,南 玻Ａ,7.53,7.58,7.49,7.5,7.49,0.04,0.534,0.5234,7901172,59567576.59,18705631029,11367789144
2018/3/29,'000012,南 玻Ａ,7.49,7.49,7.36,7.4,7.36,0.13,1.7663,0.4872,7354363,54700385.11,18606265127,11307402482
2018/3/28,'000012,南 玻Ａ,7.36,7.5,7.31,7.31,7.43,-0.07,-0.9421,0.4904,7403582,54893387.58,18283325946,11111145830
2018/3/27,'000012,南 玻Ａ,7.43,7.47,7.36,7.4,7.3,0.13,1.7808,0.6171,9315758,69047213.76,18457216274,11216822489
2018/3/26,'000012,南 玻Ａ,7.3,7.31,6.94,7.15,7.26,0.04,0.551,0.7875,11888161,85137112.69,18134277093,11020565837
2018/3/23,'000012,南 玻Ａ,7.26,7.65,7.11,7.5,7.78,-0.52,-6.6838,1.3997,21130382,156868396.4,18034911191,10960179175
2018/3/22,'000012,南 玻Ａ,7.78,7.86,7.73,7.77,7.8,-0.02,-0.2564,0.5602,8456886,65889973.65,19326667916,11745205782
2018/3/21,'000012,南 玻Ａ,7.8,7.98,7.76,7.86,7.85,-0.05,-0.6369,0.7027,10608628,83723050.57,19376350867,11775399113
2018/3/20,'000012,南 玻Ａ,7.85,7.89,7.75,7.85,7.91,-0.06,-0.7585,0.8379,12649714,98863173.01,19500558244,11850882441
2018/3/19,'000012,南 玻Ａ,7.91,8.07,7.9,8.07,8.09,-0.18,-2.225,1.0001,15097747,120480401.3,19649607097,11941462434
2018/3/16,'000012,南 玻Ａ,8.09,8.24,8.07,8.24,8.21,-0.12,-1.4616,1.0077,15213277,124031510.8,20096753655,12213202414
2018/3/15,'000012,南 玻Ａ,8.21,8.34,8.08,8.2,8.2,0.01,0.122,1.5712,23719719,195312831.2,20394851361,12394362400
2018/3/14,'000012,南 玻Ａ,8.2,8.21,8.09,8.1,8.14,0.06,0.7371,0.8671,13089931,106619952.3,20370009885,12379265735
2018/3/13,'000012,南 玻Ａ,8.14,8.3,8.12,8.2,8.2,-0.06,-0.7317,1.0161,15339607,125675701.1,20220961033,12288685741
2018/3/12,'000012,南 玻Ａ,8.2,8.25,8.13,8.2,8.16,0.04,0.4902,0.9632,14540420,119074734.5,20370009885,12379265735
2018/3/9,'000012,南 玻Ａ,8.16,8.21,8.08,8.19,8.19,-0.03,-0.3663,1.0182,15371961,125126342.7,20270643984,12318879073
2018/3/8,'000012,南 玻Ａ,8.19,8.3,8.03,8.04,8.04,0.15,1.8657,1.2331,18615020,151988482.8,20345168410,12364169069
2018/3/7,'000012,南 玻Ａ,8.04,8.18,8.01,8.15,8.1,-0.06,-0.7407,0.8955,13518891,109380104.3,19972546278,12137719086
